cell_id,month_date,count_last_1m,count_last_3m,count_last_6m,max_mag_last_3m,max_mag_last_6m,avg_mag_last_6m,avg_depth_last_6m,max_depth_last_6m,max_sig_last_3m,avg_mmi_last_3m,avg_cdi_last_3m,months_since_last_quake,trend_3m_minus_6m_avg,max_mag_last_12m,y_prob,y_class,next_month_max_mag
-36.5_-73.0,2010-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.9
-38.0_179.5,2014-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,1,1,7.3
-38.5_-73.5,2010-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,1,1,7.2
-4.0_135.0,2004-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,1,1,7.1
-4.0_152.0,2003-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.5
-4.5_-77.0,2021-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.5
-4.5_101.0,2007-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.9
-42.0_174.0,2013-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.5
-5.0_153.0,2002-12-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.8
-5.0_153.0,2003-03-01,0,1,1,6.7,6.7,6.7,34.0,34.0,691.0,6.0,0.0,3,0.5,6.7,1,1,7.6
-5.0_153.0,2005-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0,-1,6.5
-5.0_153.5,2007-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,1,1,7.9
-5.5_151.5,2005-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.7
-5.5_151.5,2015-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,0.0,0.0,1,1,7.5
-5.5_153.5,2003-01-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.7
-6.0_150.0,2001-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.9
-6.0_150.5,2003-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.7
-6.0_150.5,2006-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,1,1,7.3
-6.0_150.5,2010-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,1,1,7.0
-6.0_151.0,2006-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.7
-6.0_151.0,2018-03-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,0.0,0.0,1,1,7.0
-6.5_142.5,2018-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.7
-6.5_149.5,2010-12-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.6
-6.5_154.5,2013-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.8
