month_date,latitude,longitude,magnitude,depth,sig,mmi,cdi
2020-05-01,38.1689,-117.85,6.5,2.7,1320,8,7
2020-05-01,-12.0662,166.648,6.6,107.0,671,6,4
2020-05-01,-6.7762,129.785,6.8,96.0,738,6,4
2020-05-01,34.1818,25.7101,6.5,10.0,678,6,7
2020-03-01,44.4646,-115.118,6.5,12.06,1410,8,8
2020-03-01,48.9638,157.695,7.5,57.8,879,5,6
2020-02-01,45.6161,148.959,7.0,143.0,770,6,5
2020-01-01,19.4193,-78.756,7.7,14.86,1812,6,9
2020-01-01,38.4312,39.0609,6.7,10.0,1247,9,8
2019-12-01,6.6969,125.174,6.8,18.0,825,7,9
2019-11-01,1.6213,126.416,7.1,33.0,799,6,6
2019-11-01,-21.9449,-179.511,6.5,577.0,650,2,0
2019-11-01,-18.5747,-175.272,6.6,10.0,673,4,4
2019-10-01,6.9098,125.178,6.5,10.0,733,7,9
2019-10-01,6.7567,125.008,6.6,15.0,780,7,9
2019-09-01,-35.4758,-73.163,6.7,11.0,844,6,7
2019-09-01,-3.4528,128.37,6.5,12.26,656,7,7
2019-09-01,-20.3641,-178.57,6.6,591.0,671,3,2
2019-08-01,-60.2152,-26.5801,6.6,16.0,670,4,0
2019-08-01,-7.2822,104.791,6.9,49.0,875,6,4
2019-08-01,-34.2364,-72.3102,6.8,25.0,947,6,6
2019-07-01,-16.1985,167.998,6.6,181.0,670,4,0
2019-07-01,-0.5858,128.034,7.2,18.98,809,7,7
2019-07-01,-18.2242,120.358,6.6,10.0,791,5,5
2019-07-01,0.5126,126.189,6.9,35.0,747,5,7
2019-07-01,35.7695,-117.599,7.1,8.0,1646,9,9
2019-06-01,-6.4078,129.169,7.3,212.0,952,6,4
2019-06-01,-30.6441,-178.1,7.3,46.0,830,6,8
2019-05-01,13.1994,-89.3056,6.6,57.92,886,6,7
2019-05-01,-5.8119,-75.2697,8.0,122.57,1890,8,9
2019-05-01,-4.051,152.597,7.6,10.0,929,7,7
2019-05-01,-6.9746,146.449,7.1,146.0,826,6,7
2019-04-01,-1.8146,122.58,6.8,15.46,717,6,5
2019-04-01,-58.6262,-25.304,6.5,38.0,650,5,0
2019-03-01,-14.7131,-70.1546,7.0,267.0,869,4,7
2019-02-01,-2.1862,-77.0505,7.5,145.0,1145,7,7
2019-02-01,14.6802,-92.4527,6.7,66.0,909,6,6
2019-01-01,-43.1219,42.3568,6.7,13.0,691,3,0
2019-01-01,-30.0404,-71.3815,6.7,63.0,1600,8,8
2019-01-01,-13.336,166.875,6.6,35.0,671,4,5
2019-01-01,2.258,126.758,6.6,43.21,672,4,2
2019-01-01,-8.144,-71.587,6.8,570.41,715,3,3
2018-12-01,5.8983,126.921,7.0,60.21,803,5,5
2018-12-01,55.0999,164.699,7.3,16.56,822,7,3
2018-12-01,-58.5446,-26.3856,7.1,133.0,776,5,0
2018-12-01,-22.0629,169.733,6.6,10.0,670,4,0
2018-12-01,-21.9496,169.427,7.5,10.0,871,6,3
2018-11-01,61.3464,-149.955,7.1,46.7,1790,8,8
2018-11-01,-17.8735,-178.927,6.8,540.0,711,3,0
2018-11-01,71.6312,-11.2431,6.7,10.0,693,4,3
2018-10-01,37.5203,20.5565,6.8,14.0,954,7,8
2018-10-01,49.297,-129.724,6.5,10.0,655,4,2
2018-10-01,49.3346,-129.289,6.8,10.0,776,4,4
2018-10-01,49.2586,-129.412,6.5,10.0,669,4,3
2018-10-01,-21.7427,169.522,6.5,17.0,650,4,0
2018-10-01,52.8549,153.243,6.7,461.0,691,3,0
2018-10-01,49.2902,156.297,6.5,20.0,650,4,0
2018-10-01,-5.7012,151.205,7.0,39.0,758,6,6
2018-09-01,-18.3604,-178.063,6.7,550.0,691,3,2
2018-09-01,-0.2559,119.846,7.5,20.0,2026,8,8
2018-09-01,-25.415,178.199,6.5,576.0,651,1,4
2018-09-01,-31.7447,-179.373,6.9,115.0,735,4,3
2018-09-01,-10.0207,161.503,6.5,68.0,651,6,3
