cell_id,month_date,count_last_1m,count_last_3m,count_last_6m,max_mag_last_3m,max_mag_last_6m,avg_mag_last_6m,avg_depth_last_6m,max_depth_last_6m,max_sig_last_3m,avg_mmi_last_3m,avg_cdi_last_3m,months_since_last_quake,trend_3m_minus_6m_avg,max_mag_last_12m
-12.5_166.5,2020-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-13.0_166.0,2002-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-13.0_166.0,2009-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,0.0,0.0
-13.5_-77.0,2006-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-13.5_-77.0,2007-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,6.7
-13.5_165.5,2009-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-13.5_166.0,2009-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-13.5_166.5,2009-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-13.5_166.5,2019-01-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0
-13.5_167.0,2004-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-14.0_166.5,2008-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-14.0_166.5,2010-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0
-14.0_166.5,2016-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,0.0,0.0
-14.0_167.0,2010-03-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
